name,title,authors,publication_info,citation,year,link,fields,type
Emma Aguila,Private insurance and mental health among older adults with multiple chronic conditions: a longitudinal analysis by race and ethnicity,"H Jun, E Aguila","International Journal of Environmental Research and Public Health 18 (5), 2615, 2021",8,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:WbkHhVStYXYC,"['Authors', 'Publication date', 'Journal', 'Volume', 'Issue', 'Pages', 'Publisher', 'Description', 'Total citations', 'Scholar articles']",Journal
Emma Aguila,Long-Term Effects of Social Insurance on Adult Mortality: Evidence From Three Social Programs in Mexico,"E Aguila, W Dow, S Parker","Innovation in Aging 5 (Suppl 1), 498, 2021",,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:LPZeul_q3PIC,"['Authors', 'Publication date', 'Journal', 'Volume', 'Issue', 'Pages', 'Publisher', 'Description', 'Scholar articles']",Journal
Emma Aguila,Framing Binational Challenges of Mental and Cognitive Health Care in Mexican-Origin Older Adults: Consensus Findings,"S Grasso, F Andrade, M Lopez-Ortega, E Aguila","Innovation in Aging 5 (Suppl 1), 477, 2021",,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:5Ul4iDaHHb8C,"['Authors', 'Publication date', 'Journal', 'Volume', 'Issue', 'Pages', 'Publisher', 'Description', 'Scholar articles']",Journal
Emma Aguila,"Acknowledgement of Reviewers for Journal of Cross-Cultural Gerontology, 2020","M Adamek, E Aguila, O Agunbiade, J Angel, G Babulal, M Bailey, ...","Journal of Cross-Cultural Gerontology 3 (120), 1196, 2021",,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:8AbLer7MMksC,"['Authors', 'Publication date', 'Journal', 'Volume', 'Issue', 'Pages', 'Description', 'Scholar articles']",Journal
Emma Aguila,Likely Dementia and Its Implication for Support Among the Oldest-Old in Mexico and the United States,"M Lopez-Ortega, S Mejia, E Aguila, L Gutiérrez-Robledo, W Vega, ...","Innovation in Aging 4 (Supplement_1), 574-574, 2020",,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:XiSMed-E-HIC,"['Authors', 'Publication date', 'Journal', 'Volume', 'Issue', 'Pages', 'Publisher', 'Description', 'Scholar articles']",Journal
Emma Aguila,"Supplemental income program design: A cluster-randomized controlled trial to examine the health and wellbeing effects on older adults by gender, duration, and payment frequency","E Aguila, JP Smith","Social Science & Medicine 259, 113139, 2020",8,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:SP6oXDckpogC,"['Authors', 'Publication date', 'Journal', 'Volume', 'Pages', 'Publisher', 'Description', 'Total citations', 'Scholar articles']",Journal
Emma Aguila,Living arrangements and supplemental income programs for older adults in Mexico,"E Aguila, JH Park, A Vega","Demography 57 (4), 1345-1368, 2020",14,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:P5F9QuxV20EC,"['Authors', 'Publication date', 'Journal', 'Volume', 'Issue', 'Pages', 'Publisher', 'Description', 'Total citations', 'Scholar articles']",Journal
Emma Aguila,Short-term impact of income on cognitive function: evidence from a sample of Mexican older adults,"E Aguila, M Casanova","Journal of Aging and Health 32 (7-8), 591-603, 2020",26,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:u_35RYKgDlwC,"['Authors', 'Publication date', 'Journal', 'Volume', 'Issue', 'Pages', 'Publisher', 'Description', 'Total citations', 'Scholar articles']",Journal
Emma Aguila,Gender differences in cognitive function among older Mexican immigrants,"M Casanova, E Aguila","The Journal of the Economics of Ageing 16, 100226, 2020",13,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:f2IySw72cVMC,"['Authors', 'Publication date', 'Journal', 'Volume', 'Pages', 'Publisher', 'Description', 'Total citations', 'Scholar articles']",Journal
Emma Aguila,Health and social correlates of dementia in oldest‐old Mexican‐origin populations,"S Mejia‐Arango, E Aguila, M López‐Ortega, LM Gutiérrez‐Robledo, ...","Alzheimer's & Dementia: Translational Research & Clinical Interventions 6 (1 …, 2020",12,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:u9iWguZQMMsC,"['Authors', 'Publication date', 'Journal', 'Volume', 'Issue', 'Pages', 'Description', 'Total citations', 'Scholar articles']",Journal
Emma Aguila,Do income supplemental programs for older adults’ help reduce primary caregiver burden? Evidence from Mexico,"E Aguila, M López-Ortega, S Angst","Journal of cross-cultural gerontology 34, 385-402, 2019",13,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:fPk4N6BV_jEC,"['Authors', 'Publication date', 'Journal', 'Volume', 'Pages', 'Publisher', 'Description', 'Total citations', 'Scholar articles']",Journal
Emma Aguila,A Bi-National Comparison of Federal Safety Net Programs for Low-Income Elderly in the US and Mexico,"E Aguila, JL Angel","Innovation in Aging 3 (Suppl 1), S65, 2019",1,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:b0M2c_1WBrUC,"['Authors', 'Publication date', 'Journal', 'Volume', 'Issue', 'Pages', 'Publisher', 'Description', 'Total citations', 'Scholar articles']",Journal
Emma Aguila,OLD AND FORGOTTEN? CARE FOR ELDERS IN MEXICO AND THE US,"E Aguila, JL Angel, K Markides","Innovation in Aging 3 (Supplement_1), S64-S65, 2019",,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:bFI3QPDXJZMC,"['Authors', 'Publication date', 'Journal', 'Volume', 'Issue', 'Pages', 'Publisher', 'Description', 'Scholar articles']",Journal
Emma Aguila,Understanding the racial/ethnic gap in bank account ownership among older adults,"LR Blanco, M Angrisani, E Aguila, M Leng","Journal of Consumer Affairs 53 (2), 324-354, 2019",19,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:35N4QoGY0k4C,"['Authors', 'Publication date', 'Journal', 'Volume', 'Issue', 'Pages', 'Publisher', 'Description', 'Total citations', 'Scholar articles']",Journal
Emma Aguila,The effect of old-age pensions on health care utilization patterns and insurance uptake in Mexico,"C Riumallo-Herl, E Aguila","BMJ Global Health 4 (6), 2019",24,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:EUQCXRtRnyEC,"['Authors', 'Publication date', 'Journal', 'Volume', 'Issue', 'Publisher', 'Description', 'Total citations', 'Scholar articles']",Journal
Emma Aguila,"Determinants of informal care supply for older adults in Yucatan, Mexico","S Angst, E Aguila, M López-Ortega","Contextualizing health and aging in the Americas: Effects of space, time and …, 2019",7,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:pqnbT2bcN3wC,"['Authors', 'Publication date', 'Journal', 'Pages', 'Publisher', 'Description', 'Total citations', 'Scholar articles']",Journal
Emma Aguila,The Role of clinics in determining older Recent immigrants’ use of health services,"A Vega, T Porteny, E Aguila","Journal of Immigrant and Minority Health 20, 1468-1475, 2018",9,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:M05iB0D1s5AC,"['Authors', 'Publication date', 'Journal', 'Volume', 'Pages', 'Publisher', 'Description', 'Total citations', 'Scholar articles']",Journal
Emma Aguila,Non-contributory pension programs and frailty of older adults: Evidence from Mexico,"E Águila, M López-Ortega, LM Gutiérrez Robledo","PloS one 13 (11), e0206792, 2018",28,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:SeFeTyx0c_EC,"['Authors', 'Publication date', 'Journal', 'Volume', 'Issue', 'Pages', 'Publisher', 'Description', 'Total citations', 'Scholar articles']",Journal
Emma Aguila,Cognition and income in old age,"E Aguila, M Casanova","Innovation in Aging 2 (Suppl 1), 78, 2018",1,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:zA6iFVUQeVQC,"['Authors', 'Publication date', 'Journal', 'Volume', 'Issue', 'Pages', 'Publisher', 'Description', 'Total citations', 'Scholar articles']",Journal
Emma Aguila,Cash Transfer Programs for Older Persons: Effects on Obesity,"D Slusky, N Mejia, E Aguila","7th Annual Conference of the American Society of Health Economists, 2018",,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:p2g8aNsByqUC,"['Authors', 'Publication date', 'Journal', 'Publisher', 'Scholar articles']",Journal
Emma Aguila,Effects of Permanent Income Increases on Neighbors: Evidence From an Randomized Controlled Trial,"E Aguila, A Kapteyn, E Meijer","PAA 2018 Annual Meeting, 2018",,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:738O_yMBCRsC,"['Authors', 'Publication date', 'Journal', 'Publisher', 'Scholar articles']",Journal
Emma Aguila,Living Arrangements and Supplemental Income Programs for Older Adults,"E Aguila, JH Park, A Vega","PAA 2018 Annual Meeting, 2018",,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:nb7KW1ujOQ8C,"['Authors', 'Publication date', 'Journal', 'Publisher', 'Scholar articles']",Journal
Emma Aguila,Retirement planning among Hispanics: In God’s hands?,"LR Blanco, E Aguila, A Gongora, OK Duru","Journal of aging & social policy 29 (4), 311-331, 2017",20,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:YFjsv_pBGBYC,"['Authors', 'Publication date', 'Journal', 'Volume', 'Issue', 'Pages', 'Publisher', 'Description', 'Total citations', 'Scholar articles']",Journal
Emma Aguila,Social security contributions and return migration among older male Mexican immigrants,"E Aguila, A Vega","The Gerontologist 57 (3), 563-574, 2017",14,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:NaGl4SEjCO4C,"['Authors', 'Publication date', 'Journal', 'Volume', 'Issue', 'Pages', 'Publisher', 'Description', 'Total citations', 'Scholar articles']",Journal
Emma Aguila,Foreign retirement income among new older immigrants in the United States,"A Vega, E Aguila","International Migration 55 (3), 38-56, 2017",1,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:GnPB-g6toBAC,"['Authors', 'Publication date', 'Journal', 'Volume', 'Issue', 'Pages', 'Description', 'Total citations', 'Scholar articles']",Journal
Emma Aguila,Designing cash transfer programs for an older population: The Mexican case,"E Aguila, A Kapteyn, C Tassot","The Journal of the Economics of Ageing 9, 111-121, 2017",7,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:JV2RwH3_ST0C,"['Authors', 'Publication date', 'Journal', 'Volume', 'Pages', 'Publisher', 'Description', 'Total citations', 'Scholar articles']",Journal
Emma Aguila,Consumption smoothing and frequency of benefit payments of cash transfer programs,"E Aguila, A Kapteyn, F Perez-Arce","American Economic Review 107 (5), 430-435, 2017",46,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:J_g5lzvAfSwC,"['Authors', 'Publication date', 'Journal', 'Volume', 'Issue', 'Pages', 'Publisher', 'Description', 'Total citations', 'Scholar articles']",Journal
Emma Aguila,Old-Age Income and Health Care Utilization: A Consumption Puzzle in Mexico,"CJR Herl, E Aguila","PAA 2017 Annual Meeting, 2017",,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:a0OBvERweLwC,"['Authors', 'Publication date', 'Journal', 'Publisher', 'Scholar articles']",Journal
Emma Aguila,The Role of Clinics in Older Immigrants' Use of Health Services,"A Vega, T Porteny, E Aguila","PAA 2017 Annual Meeting, 2017",,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:l7t_Zn2s7bgC,"['Authors', 'Publication date', 'Journal', 'Publisher', 'Scholar articles']",Journal
Emma Aguila,Sociodemographic characteristics associated with alcohol use among low-income Mexican older adults,"E Aguila, EG Guerrero, WA Vega","Substance abuse treatment, prevention, and policy 11, 1-9, 2016",10,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:bEWYMUwI8FkC,"['Authors', 'Publication date', 'Journal', 'Volume', 'Pages', 'Publisher', 'Description', 'Total citations', 'Scholar articles']",Journal
Emma Aguila,INCOME SUPPLEMENTAL PROGRAM FOR ELDERLY AND FRAILTY: EVIDENCE FROM AN EXPERIMENT IN MEXICO,"E Aguila, M LopezOrtega","GERONTOLOGIST 56, 22-23, 2016",,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:O3NaXMp0MMsC,"['Authors', 'Publication date', 'Conference', 'Volume', 'Pages', 'Publisher', 'Scholar articles']",Book
Emma Aguila,Costs of extending the noncontributory pension program for elderly: The Mexican case,"E Aguila, N Mejia, F Perez-Arce, E Ramirez, A Rivera Illingworth","Journal of aging & social policy 28 (4), 325-343, 2016",19,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:r0BpntZqJG4C,"['Authors', 'Publication date', 'Source', 'Volume', 'Issue', 'Pages', 'Publisher', 'Description', 'Total citations', 'Scholar articles']",Journal
Emma Aguila,Culturally competent informed-consent process to evaluate a social policy for older persons with low literacy: The Mexican case,"E Aguila, BA Weidmer, A Rivera Illingworth, H Martinez","SAGE open 6 (3), 2158244016665886, 2016",25,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:M3NEmzRMIkIC,"['Authors', 'Publication date', 'Journal', 'Volume', 'Issue', 'Pages', 'Publisher', 'Description', 'Total citations', 'Scholar articles']",Journal
Emma Aguila,Ownership of a bank account and health of older Hispanics,"E Aguila, M Angrisani, LR Blanco","Economics letters 144, 41-44, 2016",54,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:iH-uZ7U-co4C,"['Authors', 'Publication date', 'Journal', 'Volume', 'Pages', 'Publisher', 'Description', 'Total citations', 'Scholar articles']",Journal
Emma Aguila,Alleviating Poverty for Older Adults: Findings from a Noncontributory Pension Program in Mexico,E Aguila,"2016 Annual Meeting, 2016",,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:cFHS6HbyZ2cC,"['Authors', 'Publication date', 'Journal', 'Publisher', 'Scholar articles']",Journal
Emma Aguila,Effects of a Non-Contributory Pension Program for Elderly Population on Frailty and Functional Disability: Evidence from an Experiment in Mexico,"M Lopez-Ortega, E Aguila","2016 Annual Meeting, 2016",,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:yD5IFk8b50cC,"['Authors', 'Publication date', 'Journal', 'Publisher', 'Scholar articles']",Journal
Emma Aguila,Income Sources of Newly Admitted Immigrant Elderly in the United States: A First Look at Pensions from Abroad,"A Vega, E Aguila","2016 Annual Meeting, 2016",,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:4OULZ7Gr8RgC,"['Authors', 'Publication date', 'Journal', 'Publisher', 'Scholar articles']",Journal
Emma Aguila,"A Cash Transfer Program for Older Persons in Yucatan, Mexico: Effects on Food Consumption and Obesity","E Aguila, N Mejia","2016 Annual Meeting, 2016",,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:pyW8ca7W8N0C,"['Authors', 'Publication date', 'Journal', 'Publisher', 'Scholar articles']",Journal
Emma Aguila,The Costs of Caring: Familial Dynamics and the Effects of Universal Pension Transfers on Elder Care in Mexico,"E Aguila, S Angst","2016 Annual Meeting, 2016",,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:D03iK_w7-QYC,"['Authors', 'Publication date', 'Journal', 'Publisher', 'Scholar articles']",Journal
