Course number,Course title,Units,Type,Section,Session,Time,Days,Seats,Registered,Instructor,Term,Department,Year,Semester,AY,matched_name
PPDE-613,Analytics and Operations for Healthcare Management,2.0,Lecture,50918D,1.0,6:00-7:50pm,Monday,60.0,48.0,Julia Orozco Jason Doctor,20241,Health Policy and Management,2024,SP,AY24,Jason Doctor
PPDE-635,Housing and Land Use in Rapidly Urbanizing Regions,4.0,Lecture,50903R,1.0,8:30-11:50am,Wednesday,12.0,12.0,Annette Kim,20241,Urban Planning and Spatial Management,2024,SP,AY24,Annette M. Kim
PPDE-637,Urban Mass Transit,4.0,Lecture,50924D,60.0,2:00-5:20pm,Wednesday,32.0,11.0,Lisa Schweitzer,20241,Urban Planning and Spatial Management,2024,SP,AY24,Lisa Schweitzer
PPDE-642,Advanced Urban Analytics,4.0,Lecture,50922R,1.0,2:00-5:20pm,Wednesday,12.0,9.0,Geoff Boeing,20241,Urban Planning and Spatial Management,2024,SP,AY24,Geoff Boeing
PPDE-643,Planning for Resilience,4.0,Lecture,50921R,1.0,2:00-5:20pm,Tuesday,32.0,16.0,Santina Contreras,20241,Urban Planning and Spatial Management,2024,SP,AY24,Santina Contreras
PPDE-646,Grant Writing Practicum,2.0,Lecture,50902R,1.0,10:00-11:50am,Wednesday,26.0,17.0,Rachel Reed,20241,Public Policy and Management,2024,SP,AY24,Alexandra Graddy-Reed
PPDE-647,Civic Engagement in Governance,4.0,Lecture,50915D,790.0,TBA,,32.0,15.0,Mindy Romero,20241,Public Policy and Management,2024,SP,AY24,Mindy Romero
PPDE-668,Applied Econometrics for Program Evaluation,4.0,Lecture,50910D,1.0,2:00-5:20pm,Wednesday,32.0,23.0,T.J. Mccarthy,20241,Public Policy and Management,2024,SP,AY24,T.J. McCarthy
PPDE-673,Foundations of Environmental Policy,4.0,Lecture,50911D,1.0,2:00-5:20pm,Monday,32.0,22.0,Antonio Bento,20241,Public Policy and Management,2024,SP,AY24,Antonio M. Bento
PLUS-652,"Place, Institutions, and Governance",4.0,Lecture,51557D,1.0,TBA,,18.0,7.0,William Leach,20241,Public Policy and Management,2024,SP,AY24,William Leach
PLUS-660,Economics of a Productive Development - A Public/Private Perspective,3.0,Lecture,51531D,919.0,TBA,,4.0,2.0,Moussa Diop,20241,Real Estate Development,2024,SP,AY24,Moussa Diop
PLUS-665,Economics for a Productive City,3.0,Lecture,51536D,919.0,TBA,,4.0,1.0,Allen Prohofsky Elizabeth Falletta,20241,Urban Planning and Spatial Management,2024,SP,AY24,Liz Falletta
PLUS-667,Effective Engagement with Stakeholders,3.0,Lecture,51537D,919.0,TBA,,4.0,1.0,Elizabeth Falletta,20241,Urban Planning and Spatial Management,2024,SP,AY24,Liz Falletta
PLUS-694b,"Planning, Design and Development Professional Dissertation",2.0,Lecture,51551D,60.0,TBA,,18.0,5.0,Michael Thom,20241,Public Policy and Management,2024,SP,AY24,Michael Thom
PLUS-694c,"Planning, Design and Development Professional Dissertation",2.0,Lecture,51552D,1.0,TBA,,18.0,2.0,Michael Thom,20241,Public Policy and Management,2024,SP,AY24,Michael Thom
PLUS-694d,"Planning, Design and Development Professional Dissertation",2.0,Lecture,51553D,1.0,TBA,,18.0,3.0,Michael Thom,20241,Public Policy and Management,2024,SP,AY24,Michael Thom
PLUS-694z,"Planning, Design and Development Professional Dissertation",0.0,Lecture,51554D,1.0,TBA,,18.0,8.0,Michael Thom,20241,Public Policy and Management,2024,SP,AY24,Michael Thom
RED-200,Introduction to Real Estate,4.0,Lecture,51650R,1.0,9:00-12:20pm,Friday,25.0,20.0,Mark Zikakis,20241,ROTC,2024,SP,AY24,Lt. Col Mark R. Burley
RED-200,Introduction to Real Estate,4.0,Lecture,51651R,1.0,10:00-11:50am,"Mon, Wed",75.0,73.0,John Loper,20241,Real Estate Development,2024,SP,AY24,John Loper
RED-325,Introduction to Finance in Cities,4.0,Lecture,51655R,1.0,2:00-3:50pm,"Mon, Wed",60.0,55.0,John Loper,20241,Real Estate Development,2024,SP,AY24,John Loper
RED-362,Real Estate Development Fundamentals,4.0,Lecture,51657R,1.0,8:00-9:50am,"Tue, Thu",42.0,42.0,Jorge De la Roca,20241,Real Estate Development,2024,SP,AY24,Jorge De la Roca
RED-362,Real Estate Development Fundamentals,4.0,Lecture,51672R,1.0,12:00-1:50pm,"Tue, Thu",50.0,50.0,Jorge De la Roca,20241,Real Estate Development,2024,SP,AY24,Jorge De la Roca
RED-375,Real Estate Development Analysis,4.0,Lecture,51659R,1.0,9:00-12:20pm,Friday,28.0,27.0,John Loper,20241,Real Estate Development,2024,SP,AY24,John Loper
RED-375,Real Estate Development Analysis,4.0,Lecture,51660R,1.0,10:00-11:50am,"Mon, Wed",27.0,26.0,Moussa Diop,20241,Real Estate Development,2024,SP,AY24,Moussa Diop
RED-425,Designing Livable Communities,4.0,Lecture,51658R,1.0,2:00-3:50pm,"Mon, Wed",26.0,26.0,Elizabeth Falletta,20241,Urban Planning and Spatial Management,2024,SP,AY24,Liz Falletta
RED-425,Designing Livable Communities,4.0,Lecture,51665R,1.0,12:00-1:50pm,"Mon, Wed",27.0,27.0,Elizabeth Falletta,20241,Urban Planning and Spatial Management,2024,SP,AY24,Liz Falletta
RED-435,Analyzing Real Estate Markets,4.0,Lecture,51667R,1.0,6:00-9:20pm,Monday,30.0,29.0,Mary Lynne Boorn,20241,Real Estate Development,2024,SP,AY24,Mary Lynne Boorn
RED-435,Analyzing Real Estate Markets,4.0,Lecture,51668R,1.0,12:00-1:50pm,"Tue, Thu",32.0,32.0,Mary Lynne Boorn,20241,Real Estate Development,2024,SP,AY24,Mary Lynne Boorn
RED-437,Advanced Finance and Investment for Real Estate Development,4.0,Lecture,51670R,1.0,8:00-9:50am,"Tue, Thu",23.0,16.0,Spencer Couts,20241,Real Estate Development,2024,SP,AY24,Spencer Couts
RED-469,Mixed Use Development Process,4.0,Lecture,51689D,532.0,9:00-11:50am,Friday,18.0,18.0,Richard Green,20241,Real Estate Development,2024,SP,AY24,Richard K. Green
RED-510,Real Estate Practice and Principles,4.0,Lecture,51616R,38.0,6:00-9:20pm,Wednesday,24.0,15.0,Moussa Diop,20241,Real Estate Development,2024,SP,AY24,Moussa Diop
RED-546,Applications of Real Estate Finance to Problems of Development,3.0,Lecture,51603D,38.0,2:00-4:50pm,Wednesday,22.0,22.0,Christian Redfearn,20241,Real Estate Development,2024,SP,AY24,Christian L. Redfearn
RED-546,Applications of Real Estate Finance to Problems of Development,3.0,Lecture,51604D,38.0,6:00-8:50pm,Tuesday,20.0,11.0,Christian Redfearn,20241,Real Estate Development,2024,SP,AY24,Christian L. Redfearn
RED-585,Comparative International Development Workshop,2.0-4.0 units,Lecture,51649D,548.0,TBA,,20.0,19.0,Richard Green,20241,Real Estate Development,2024,SP,AY24,Richard K. Green
HMGT-540,"Health Economics, Financing and Reimbursement",4.0,Lecture,51711D,820.0,TBA,,17.0,14.0,Paul Ginsburg,20241,Health Policy and Management,2024,SP,AY24,Paul B. Ginsburg
HMGT-565,Managing the Organization's Financial Health,4.0,Lecture,51712D,820.0,TBA,,15.0,8.0,Lisa Ozaeta,20241,Health Policy and Management,2024,SP,AY24,Lisa Ozaeta
HMGT-565,Managing the Organization's Financial Health,4.0,Lecture,51713D,820.0,TBA,,15.0,12.0,Lisa Ozaeta,20241,Health Policy and Management,2024,SP,AY24,Lisa Ozaeta
HMGT-575,Managing and Improving Health,4.0,Lecture,51714D,820.0,TBA,,25.0,23.0,Michael Harris,20241,Health Policy and Management,2024,SP,AY24,Michael E. Harris
HMGT-600,Managing Risk,2.0,Lecture,51715D,820.0,TBA,,15.0,9.0,Michael Harris,20241,Health Policy and Management,2024,SP,AY24,Michael E. Harris
HMGT-600,Managing Risk,2.0,Lecture,51719D,820.0,TBA,,15.0,6.0,Michael Harris,20241,Health Policy and Management,2024,SP,AY24,Michael E. Harris
PPD-203,Economic Analysis for Public Policy,4.0,Lecture,51112R,1.0,10:00-11:50am,"Tue, Thu",32.0,27.0,Mark Phillips,20233,Public Policy and Management,2023,F,AY24,Mark Phillips
PPD-240g,Citizenship and Public Ethics,4.0,Lecture,51140D,1.0,10:00-11:50am,"Mon, Wed",42.0,40.0,Grace Bahng,20233,Public Policy and Management,2023,F,AY24,Grace Bahng
PPD-245g,The Urban Context,4.0,Lecture,51105D,1.0,2:00-3:50pm,"Mon, Wed",63.0,63.0,Marlon Boarnet,20233,Urban Planning and Spatial Management,2023,F,AY24,Marlon Boarnet
PPD-300,Social Justice Issues in Public Policy and Urban Planning,4.0,Lecture,51119R,1.0,12:00-1:50pm,"Tue, Thu",32.0,32.0,Lavonna Lewis,20233,Health Policy and Management,2023,F,AY24,LaVonna B. Lewis
PPD-300,Social Justice Issues in Public Policy and Urban Planning,4.0,Lecture,51126R,1.0,10:00-11:50am,"Wed, Fri",32.0,10.0,Maria Romero-Morales,20233,Public Policy and Management,2023,F,AY24,Mindy Romero
PPD-303,"Statistics for Policy, Planning, and Development",4.0,Lecture,51102R,1.0,2:00-3:50pm,"Tue, Thu",36.0,36.0,Norris Gunby,20233,Health Policy and Management,2023,F,AY24,Norris Gunby
PPD-303,"Statistics for Policy, Planning, and Development",4.0,Lecture,51104R,1.0,12:00-1:50pm,"Mon, Wed",32.0,31.0,John Romley,20233,Health Policy and Management,2023,F,AY24,John A. Romley
PPD-313,Finance of the Public Sector,4.0,Lecture,51113R,1.0,12:00-1:50pm,"Tue, Thu",32.0,32.0,Mark Phillips,20233,Public Policy and Management,2023,F,AY24,Mark Phillips
PPD-314,Public Policy and Law,4.0,Lecture,51115R,1.0,6:00-9:20pm,Wednesday,32.0,25.0,Frank Zerunyan,20233,Public Policy and Management,2023,F,AY24,Frank V. Zerunyan
PPD-315,Analytic Foundations for Public Policy,4.0,Lecture,51106R,1.0,10:00-11:50am,"Tue, Thu",26.0,24.0,Pamela Mccann,20233,Public Policy and Management,2023,F,AY24,Pamela McCann
PPD-325,Fundamentals of Health Policy and Management,4.0,Lecture,51108R,1.0,12:00-1:50pm,"Mon, Wed",32.0,21.0,Genevieve Kanter,20233,Health Policy and Management,2023,F,AY24,Genevieve Kanter
PPD-353,Philanthropy and Social Change,4.0,Lecture,51152R,1.0,4:00-5:50pm,"Mon, Wed",32.0,17.0,Nicole Esparza,20233,Public Policy and Management,2023,F,AY24,Nicole E. Esparza
PPD-357,Government and Business,4.0,Lecture,51139R,1.0,10:00-11:50am,"Tue, Thu",32.0,32.0,Michael Thom,20233,Public Policy and Management,2023,F,AY24,Michael Thom
PPD-361,"Sustainable Communities, Policy and Planning",4.0,Lecture,51148R,1.0,12:00-1:50pm,"Mon, Wed",32.0,32.0,Antonio Bento,20233,Public Policy and Management,2023,F,AY24,Antonio M. Bento
PPD-371,The Nonprofit Sector and the Public Interest,4.0,Lecture,51123R,1.0,12:00-1:50pm,"Mon, Wed",32.0,26.0,Alexandra Graddy-Reed,20233,Public Policy and Management,2023,F,AY24,Alexandra Graddy-Reed
PPD-373,Public Policy and Planning Analysis,4.0,Lecture,51114R,1.0,8:00-9:50am,"Tue, Thu",32.0,24.0,Grace Bahng,20233,Public Policy and Management,2023,F,AY24,Grace Bahng
PPD-413,Management of Health Care Organizations,4.0,Lecture,51147R,1.0,10:00-11:50am,"Mon, Wed",32.0,15.0,Philip Dalton,20233,Health Policy and Management,2023,F,AY24,Phil Dalton
PPD-430,Urban Informatics,4.0,Lecture,51133R,1.0,6:00-9:20pm,Tuesday,32.0,32.0,Geoff Boeing,20233,Urban Planning and Spatial Management,2023,F,AY24,Geoff Boeing
PPD-503,Economics for Public Policy,4.0,Lecture,51216D,1.0,2:00-5:20pm,Wednesday,63.0,60.0,Antonio Bento,20233,Public Policy and Management,2023,F,AY24,Antonio M. Bento
PPD-503,Economics for Public Policy,4.0,Lecture,51217D,1.0,6:00-9:20pm,Tuesday,37.0,28.0,Antonio Bento,20233,Public Policy and Management,2023,F,AY24,Antonio M. Bento
PPD-504,Essential Statistics for Public Management,2.0,Lecture,51288R,1.0,6:00-7:50pm,Monday,28.0,20.0,William Leach,20233,Public Policy and Management,2023,F,AY24,William Leach
PPD-506,Introduction to Microeconomics: Applications in Health,2.0,Lecture,51515D,1.0,12:00-1:50pm,Monday,28.0,27.0,Neeraj Sood,20233,Health Policy and Management,2023,F,AY24,Neeraj Sood
PPD-506,Introduction to Microeconomics: Applications in Health,2.0,Lecture,51516D,1.0,4:00-5:50pm,Monday,22.0,17.0,Neeraj Sood,20233,Health Policy and Management,2023,F,AY24,Neeraj Sood
PPD-509,Problems and Issues in the Health Field,4.0,Lecture,51206D,1.0,6:00-9:20pm,Wednesday,20.0,12.0,Howard Greenwald,20233,Health Policy and Management,2023,F,AY24,Howard Greenwald
PPD-509,Problems and Issues in the Health Field,4.0,Lecture,51275D,1.0,2:00-5:20pm,Tuesday,24.0,24.0,Philip Dalton,20233,Health Policy and Management,2023,F,AY24,Phil Dalton
PPD-509,Problems and Issues in the Health Field,4.0,Lecture,51309D,791.0,TBA,,22.0,18.0,Lavonna Lewis,20233,Health Policy and Management,2023,F,AY24,LaVonna B. Lewis
PPD-516,Financial Accounting for Health Care Organizations,4.0,Lecture,51271D,1.0,6:00-9:20pm,Tuesday,18.0,17.0,Norris Gunby,20233,Health Policy and Management,2023,F,AY24,Norris Gunby
PPD-516,Financial Accounting for Health Care Organizations,4.0,Lecture,51272D,1.0,6:00-9:20pm,Thursday,18.0,17.0,Norris Gunby,20233,Health Policy and Management,2023,F,AY24,Norris Gunby
