Course number,Course title,Units,Type,Registered,Instructor,term,class_abbr
PPD-506,Introduction to Microeconomics: Applications in Health,2.0,Lecture,17.0,Neeraj Sood,20233,PPD
PPD-508,Health Care Operations Improvement,4.0,Lecture,27.0,David Belson,20233,PPD
PPD-508,Health Care Operations Improvement,4.0,Lecture,3.0,David Belson,20233,PPD
PPD-509,Problems and Issues in the Health Field,4.0,Lecture,12.0,Howard Greenwald,20233,PPD
PPD-509,Problems and Issues in the Health Field,4.0,Lecture,24.0,Philip Dalton,20233,PPD
PPD-509,Problems and Issues in the Health Field,4.0,Lecture,18.0,Lavonna Lewis,20233,PPD
PPD-513,Legal Issues in Health Care Delivery,2.0,Lecture,30.0,Ian Spatz,20233,PPD
PPD-513,Legal Issues in Health Care Delivery,2.0,Lecture,28.0,Anu Banerjee,20233,PPD
PPD-516,Financial Accounting for Health Care Organizations,4.0,Lecture,17.0,Norris Gunby,20233,PPD
PPD-516,Financial Accounting for Health Care Organizations,4.0,Lecture,17.0,Norris Gunby,20233,PPD
PPD-516,Financial Accounting for Health Care Organizations,4.0,Lecture,14.0,Samuel King,20233,PPD
PPD-518,Quality of Care Concepts,2.0,Lecture,10.0,Gary Blackard,20233,PPD
PPD-518,Quality of Care Concepts,2.0,Lecture,16.0,Gary Blackard,20233,PPD
PPD-522,Planning Theory and History for a Just Society,4.0,Lecture,42.0,David Sloane,20233,PPD
PPD-531L,Planning Studio,"4.0-12.0 units, max 12",Lecture-Lab,22.0,Michael Woo,20233,PPD
PPD-531L,Planning Studio,"4.0-12.0 units, max 12",Lecture-Lab,13.0,Eric Shen,20233,PPD
PPD-531L,Planning Studio,"4.0-12.0 units, max 12",Lecture-Lab,23.0,Peter Enzminger,20233,PPD
PPD-534,"Data, Evidence, and Communication of the Public Good",4.0,Lecture,61.0,Geoff Boeing,20233,PPD
PPD-540,Fundamentals of Public Administration,4.0,Lecture,20.0,Yan Tang,20233,PPD
PPD-540,Fundamentals of Public Administration,4.0,Lecture,27.0,Danyao Li,20233,PPD
PPD-540,Fundamentals of Public Administration,4.0,Lecture,24.0,Danyao Li,20233,PPD
PPD-540,Fundamentals of Public Administration,4.0,Lecture,6.0,William Resh,20233,PPD
PPD-540,Fundamentals of Public Administration,4.0,Lecture,20.0,Tara Blanc,20233,PPD
PPD-541,Public Financial Management and Budgeting,4.0,Lecture,21.0,Steve Shea,20233,PPD
PPD-541,Public Financial Management and Budgeting,4.0,Lecture,8.0,John Calanni,20233,PPD
PPD-542,Policy and Program Evaluation,4.0,Lecture,11.0,Howard Greenwald,20233,PPD
PPD-542,Policy and Program Evaluation,4.0,Lecture,19.0,Nicole Esparza,20233,PPD
PPD-542,Policy and Program Evaluation,4.0,Lecture,15.0,William Leach Tara Blanc,20233,PPD
PPD-542,Policy and Program Evaluation,4.0,Lecture,7.0,William Leach,20233,PPD
PPD-543,Internship Seminar,1.0,Lecture,14.0,Thomas Eng,20233,PPD
PPD-545,Public and Nonprofit Organizational Behavior,4.0,Lecture,22.0,Peter Robertson,20233,PPD
PPD-545,Public and Nonprofit Organizational Behavior,4.0,Lecture,22.0,Deborah Natoli,20233,PPD
PPD-545,Public and Nonprofit Organizational Behavior,4.0,Lecture,21.0,Deborah Natoli,20233,PPD
PPD-545,Public and Nonprofit Organizational Behavior,4.0,Lecture,22.0,Peter Robertson,20233,PPD
PPD-545,Public and Nonprofit Organizational Behavior,4.0,Lecture,13.0,Kelly Rawlings,20233,PPD
PPD-546,Capstone in Public Administration,4.0,Lecture,9.0,Tara Blanc,20233,PPD
PPD-554,Foundations of Policy Analysis,4.0,Lecture,33.0,Pamela Mccann,20233,PPD
PPD-554,Foundations of Policy Analysis,4.0,Lecture,30.0,Lauren Brown,20233,PPD
PPD-554,Foundations of Policy Analysis,4.0,Lecture,11.0,Dora Kingsley Vertenten,20233,PPD
PPD-554,Foundations of Policy Analysis,4.0,Lecture,10.0,Dora Kingsley Vertenten,20233,PPD
PPD-555,Public Policy Formulation and Implementation,4.0,Lecture,6.0,Matthew Wheeler,20233,PPD
PPD-557,Modeling and Operations Research,4.0,Lecture,23.0,Jeffrey Smith,20233,PPD
PPD-558,Multivariate Statistical Analysis,4.0,Lecture,32.0,Bryan Tysinger,20233,PPD
PPD-558,Multivariate Statistical Analysis,4.0,Lecture,30.0,Sean Angst,20233,PPD
PPD-558,Multivariate Statistical Analysis,4.0,Lecture,26.0,Emma Aguila Vega,20233,PPD
