name,title,year,citation,link,publisher,type
Emma Aguila,20 years of the Mexican Health and Aging Study,2023,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:J-pR_7NvFogC,,Journal
Emma Aguila,"Non-Contributory Pensions, Functional Limitations, and Unpaid Family Care for Older Adults in Mexico",2022,2,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:VOx2b1Wkg3QC,Sage Publications,Journal
Emma Aguila,Effects of Social Insurance Programs on Health Care Utilization of Middle-Aged and Older Adults,2022,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:fQNAKQ3IYiAC,PAA,Journal
Emma Aguila,Framing Challenges of Dementia and Mental Health Care in Mexican-origin Older Adults in Mexico and the United States: Consensus Agenda Findings and Recommendations,2021,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:08ZZubdj9fEC,Springer International Publishing,Part of Book
Emma Aguila,Privatizing responsibility for old age security,2024,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:eq2jaN3J8jMC,Oxford University Press,Journal
Emma Aguila,The Conference Series on Aging in the Americas (CAA) and Emerging Scholars in the Field,2021,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:tS2w5q8j5-wC,Springer Nature,Journal
Emma Aguila,Impact of supplemental income on major depressive episodes of older adults in Mexico,2021,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:vRqMK49ujn8C,Springer International Publishing,Part of Book
Emma Aguila,Retirement and supplemental income programs for low-income older Mexican-origin adults in the United States and Mexico,2021,7,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:tOudhMTPpwUC,Oxford University Press,Journal
Emma Aguila,Private insurance and mental health among older adults with multiple chronic conditions: a longitudinal analysis by race and ethnicity,2021,8,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:WbkHhVStYXYC,MDPI,Journal
Emma Aguila,The value of Medicare coverage on depressive symptoms among older immigrants,2024,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:kRWSkSYxWN8C,Oxford University Press,Journal
Emma Aguila,"Acknowledgement of Reviewers for Journal of Cross-Cultural Gerontology, 2020",2021,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:8AbLer7MMksC,,Journal
Emma Aguila,Long-Term Effects of Social Insurance on Adult Mortality: Evidence From Three Social Programs in Mexico,2021,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:LPZeul_q3PIC,Oxford University Press,Journal
Emma Aguila,"Supplemental income program design: A cluster-randomized controlled trial to examine the health and wellbeing effects on older adults by gender, duration, and payment frequency",2020,8,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:SP6oXDckpogC,Pergamon,Journal
Emma Aguila,Living arrangements and supplemental income programs for older adults in Mexico,2020,16,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:P5F9QuxV20EC,Duke University Press,Journal
Emma Aguila,Short-term impact of income on cognitive function: evidence from a sample of Mexican older adults,2020,27,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:u_35RYKgDlwC,Sage Publications,Journal
Emma Aguila,Gender differences in cognitive function among older Mexican immigrants,2020,13,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:f2IySw72cVMC,Elsevier,Journal
Emma Aguila,Health and social correlates of dementia in oldest‐old Mexican‐origin populations,2020,12,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:u9iWguZQMMsC,,Journal
Emma Aguila,OLD AND FORGOTTEN? CARE FOR ELDERS IN MEXICO AND THE US,2019,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:bFI3QPDXJZMC,Oxford University Press,Journal
Emma Aguila,A Bi-National Comparison of Federal Safety Net Programs for Low-Income Elderly in the US and Mexico,2019,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:b0M2c_1WBrUC,Oxford University Press,Journal
Emma Aguila,Do income supplemental programs for older adults’ help reduce primary caregiver burden? Evidence from Mexico,2019,14,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:fPk4N6BV_jEC,Springer US,Journal
Emma Aguila,The effect of old-age pensions on health care utilization patterns and insurance uptake in Mexico,2019,25,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:EUQCXRtRnyEC,BMJ Specialist Journals,Journal
Emma Aguila,"Determinants of informal care supply for older adults in Yucatan, Mexico",2019,8,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:pqnbT2bcN3wC,Springer International Publishing,Journal
Emma Aguila,Effects of Permanent Income Increases on Neighbors: Evidence From an Randomized Controlled Trial,2018,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:738O_yMBCRsC,PAA,Journal
Emma Aguila,Cash Transfer Programs for Older Persons: Effects on Obesity,2018,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:p2g8aNsByqUC,ASHECON,Journal
Emma Aguila,Living Arrangements and Supplemental Income Programs for Older Adults,2018,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:nb7KW1ujOQ8C,PAA,Journal
Emma Aguila,Cognition and income in old age,2018,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:zA6iFVUQeVQC,Oxford University Press,Journal
Emma Aguila,Non-contributory pension programs and frailty of older adults: Evidence from Mexico,2018,29,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:SeFeTyx0c_EC,Public Library of Science,Journal
Emma Aguila,Retirement planning among Hispanics: In God’s hands?,2017,20,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:YFjsv_pBGBYC,Routledge,Journal
Emma Aguila,Likely Dementia and Its Implication for Support Among the Oldest-Old in Mexico and the United States,2020,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:XiSMed-E-HIC,Oxford University Press,Journal
Emma Aguila,Framing Binational Challenges of Mental and Cognitive Health Care in Mexican-Origin Older Adults: Consensus Findings,2021,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:5Ul4iDaHHb8C,Oxford University Press,Journal
Emma Aguila,Understanding the racial/ethnic gap in bank account ownership among older adults,2019,20,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:35N4QoGY0k4C,"Wiley Periodicals, Inc.",Journal
Emma Aguila,Foreign retirement income among new older immigrants in the United States,2017,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:GnPB-g6toBAC,,Journal
Emma Aguila,Social security contributions and return migration among older male Mexican immigrants,2017,15,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:NaGl4SEjCO4C,Oxford University Press,Journal
Emma Aguila,The role of clinics in determining older recent immigrants’ use of health services,2018,9,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:M05iB0D1s5AC,Springer US,Journal
Emma Aguila,Old-Age Income and Health Care Utilization: A Consumption Puzzle in Mexico,2017,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:a0OBvERweLwC,PAA,Journal
Emma Aguila,Designing cash transfer programs for an older population: The Mexican case,2017,7,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:JV2RwH3_ST0C,Elsevier,Journal
Emma Aguila,Consumption smoothing and frequency of benefit payments of cash transfer programs,2017,49,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:J_g5lzvAfSwC,American Economic Association,Journal
Emma Aguila,Sociodemographic characteristics associated with alcohol use among low-income Mexican older adults,2016,10,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:bEWYMUwI8FkC,BioMed Central,Journal
Emma Aguila,INCOME SUPPLEMENTAL PROGRAM FOR ELDERLY AND FRAILTY: EVIDENCE FROM AN EXPERIMENT IN MEXICO,2016,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:O3NaXMp0MMsC,OXFORD UNIV PRESS INC,Journal
Emma Aguila,Culturally competent informed-consent process to evaluate a social policy for older persons with low literacy: The Mexican case,2016,25,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:M3NEmzRMIkIC,SAGE Publications,Journal
Emma Aguila,Effects of a Non-Contributory Pension Program for Elderly Population on Frailty and Functional Disability: Evidence from an Experiment in Mexico,2016,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:yD5IFk8b50cC,PAA,Journal
Emma Aguila,Alleviating Poverty for Older Adults: Findings from a Noncontributory Pension Program in Mexico,2016,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:cFHS6HbyZ2cC,PAA,Journal
Emma Aguila,"A Cash Transfer Program for Older Persons in Yucatan, Mexico: Effects on Food Consumption and Obesity",2016,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:pyW8ca7W8N0C,PAA,Journal
Emma Aguila,Income Sources of Newly Admitted Immigrant Elderly in the United States: A First Look at Pensions from Abroad,2016,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:4OULZ7Gr8RgC,PAA,Journal
Emma Aguila,Ownership of a bank account and health of older Hispanics,2016,55,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:iH-uZ7U-co4C,North-Holland,Journal
Emma Aguila,Old-age income and health care utilization: A consumption puzzle in Mexico,2016,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:NMxIlDl6LWMC,,Other
Emma Aguila,Social Security Contributions and Return Migration among Older Male Mexican Immigrants,2015,3,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:RHpTSmoSYBkC,,Journal
Emma Aguila,Pobreza y vulnerabilidad en México: El caso de los jóvenes que no estudian ni trabajan,2015,61,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:3fE2CSJIrl8C,El Colegio de México AC,Journal
Emma Aguila,Effects of income supplementation on health of the poor elderly: The case of Mexico,2015,84,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:7PzlFSSx8tAC,National Academy of Sciences,Journal
Emma Aguila,Retirement planning among middle-aged and older Hispanics,2015,3,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:-f6ydRqryjwC,,Working Paper
Emma Aguila,Developing and testing informed-consent methods in a study of the elderly in Mexico,2015,10,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:ZeXyd9-uunAC,RAND Corporation,Other
Emma Aguila,Alleviating Poverty for Older Adults: Findings from a Noncontributory Pension Program in,2015,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:e5wmG9Sq2KIC,,Other
Emma Aguila,How Do Management Fees Affect Retirement Wealth under M exico's Personal Retirement Accounts System?,2014,9,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:4TOpqqG69KYC,,Journal
Emma Aguila,"Programa de Pensiones No Contributivas para Adultos Mayores en Yucatán, México: Diseño, Implementación y Evaluación del Programa en Mérida",2014,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:wbdj-CoPYUoC,RAND Corporation,Other
Emma Aguila,Geographic targeting in urban areas: A social-welfare program for older people in mexico,2014,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:K3LRdlH-MEoC,RAND Corporation,Other
Emma Aguila,Mortality Expectations of Older Mexicans: Development and Testing of Survey Measures,2014,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:Y5dfb0dijaUC,RAND Corporation,Other
Emma Aguila,The Role of Clinics in Older Immigrants' Use of Health Services,2017,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:l7t_Zn2s7bgC,PAA,Journal
Emma Aguila,Distributing Noncontributory Pension Benefits by Debit Card in Mexico: A Pilot Test,2014,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:olpn-zPbct0C,RAND Corporation,Other
Emma Aguila,Male labor force participation and social security in Mexico,2014,36,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:IjCSPb-OGe4C,Cambridge University Press,Journal
Emma Aguila,Costs of extending the noncontributory pension program for elderly: The Mexican case,2016,20,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:r0BpntZqJG4C,Routledge,Journal
Emma Aguila,How Do Management Fees Affect Retirement Wealth Under Mexico’s Personal Retirement Accounts System?,2014,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:PELIpwtuRlgC,RAND Corporation,Other
Emma Aguila,The Costs of Caring: Familial Dynamics and the Effects of Universal Pension Transfers on Elder Care in Mexico,2016,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:D03iK_w7-QYC,PAA,Journal
Emma Aguila,"RAND Review: Vol. 37, No. 2, Fall 2013",2013,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:HE397vMXCloC,RAND Corporation,Other
Emma Aguila,"Consumption Smoothing, Frequency of Benefit Payments, and Effectiveness of Social Programs",2015,2,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:_Qo2XoVZTnwC,Working Paper,Working Paper
Emma Aguila,"Health status and behavioral risk factors in older adult Mexicans and Mexican immigrants to the United States (vol 25, pg 136, 2013)",2013,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:YOwf2qJgpHMC,SAGE PUBLICATIONS INC,Journal
Emma Aguila,"A noncontributory pension program for older persons in Yucatan, Mexico",2014,5,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:qxL8FJ1GzNcC,,Journal
Emma Aguila,Alleviating poverty for older persons: Results of a social welfare program in Mexico,2013,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:hC7cP41nSMkC,,Journal
Emma Aguila,Programas de Pensiones No Contributivas y su Viabilidad Financiera: El Caso de México,2013,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:1qzjygNMrQYC,RAND Corporation,Other
Emma Aguila,Programas de pensiones no contributivas y su viabilidad financiera el caso de México,2013,19,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:ZHo1McVdvXMC,,Working Paper
Emma Aguila,R etirement and health benefits for M exican migrant workers returning from the U nited S tates,2013,39,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:8k81kl-MbHgC,,Journal
Emma Aguila,"Self-employment, health insurance, and return migration of middle-aged and elderly Mexican males",2015,4,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:hFOr9nPyWt4C,Springer International Publishing,Journal
Emma Aguila,Programas De Pensiones No Contributivas Y Su Viabilidad Financiera: El Caso De México (Noncontributory Pension Programs and Their Financial Viability: The Mexican Case),2013,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:KlAtU1dfN6UC,RAND Working Paper Series WR-999,Working Paper
Emma Aguila,Pobreza y Vulnerabilidad en México: El caso de los Jóvenes que no Estudian ni Trabajan,2013,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:Mojj43d5GZwC,RAND Corporation,Other
Emma Aguila,How Can Economic and Political Ties Between the United States and Mexico Be Strengthened?,2012,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:JoZmwDi-zQgC,RAND Corporation,Other
Emma Aguila,"A noncontributory pension program for older persons in Yucatan, Mexico: Implementing and designing the evaluation of the program in Valladolid",2013,16,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:3s1wT3WcHBgC,Rand Corporation,Other
Emma Aguila,Health status and behavioral risk factors in older adult Mexicans and Mexican immigrants to the United States,2013,29,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:MXK_kJrjxJIC,Sage Publications,Journal
Emma Aguila,Programas de pensiones no contributivas y su viabilidad financiera,2013,19,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:Zph67rFs4hoC,,Journal
Emma Aguila,R uhestands‐und Gesundheitsleistungen für aus den V ereinigten S taaten zurückkehrende mexikanische Arbeitsmigranten,2013,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:ufrVoPGSRksC,,Journal
Emma Aguila,Prestations de santé et de retraite pour les travailleurs migrants mexicains qui rentrent des E tats‐U nis,2013,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:YsMSGLbcyi4C,,Journal
Emma Aguila,How Can Economic and Political Ties Between US and Mexico be Strengthened?(Spanish translation),2013,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:_B80troHkn4C,RAND Corporation,Other
Emma Aguila,Jubilación y prestaciones de salud de los trabajadores migrantes mexicanos que regresan de los E stados U nidos,2013,2,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:hqOjcs7Dif8C,,Journal
Emma Aguila,Targeting Cash Transfer Programs for an Older Population,2012,7,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:_FxGoFyzp5QC,RAND Working Paper No. WR-950,Working Paper
Emma Aguila,Targeting Cash Transfer Programs for an Older Population,2012,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xfW8UvkAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=xfW8UvkAAAAJ:Tiz5es2fbqcC,,Working Paper
